molecular_weight,logP,tpsa,hbd,hba,rotatable_bonds,qed,vina_score,num_rings,aromatic_rings,caco2,bbb_logBB,h2o_sol_logS,bioavailability,sascore,plip_hbonds,plip_hydrophobic,plip_pi_stack,electrostatic_descriptor,topological_psa,pKd,affinity_nM,target_id,source_phytochemical,evidence_tier,notes
469.71,-0.35,71.25,1,4,1,0.708,-4.809,1,4,-5.156,-1.911,-4.907,0.6,2.13,1,8,3,-1.677,73.04,5.866,1362.48,T010_ERa,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
437.4,2.038,103.0,4,12,2,0.616,-7.828,2,1,-5.371,-0.647,-5.732,0.52,2.05,1,3,3,2.783,103.11,6.159,693.21,T005_BACE1,Berberine,3,Synthetic - ML prediction tier; NOT experimental
394.35,-0.004,34.63,6,5,4,0.225,-9.814,3,1,-4.439,-0.303,-2.137,0.6,4.55,4,1,2,1.651,41.09,8.135,7.33,T004_FactorXa,Quercetin,3,Synthetic - ML prediction tier; NOT experimental
561.31,-0.25,137.85,4,5,6,0.277,-5.274,2,2,-4.25,-1.903,-4.686,0.82,2.43,0,3,1,1.864,139.61,4.059,87214.56,T007_COX2,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
232.99,0.335,60.99,1,2,9,0.463,-9.392,5,1,-5.353,0.112,-4.553,0.46,6.29,5,1,1,2.777,66.71,8.528,2.96,T001_mGluR2,Curcumin,3,Synthetic - ML prediction tier; NOT experimental
583.52,0.261,159.91,1,4,5,0.821,-5.789,6,3,-5.021,-0.268,-4.656,0.55,4.26,5,1,3,0.094,155.48,6.087,817.56,T005_BACE1,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
440.98,4.713,157.08,0,9,10,0.698,-8.813,1,4,-5.205,0.904,-1.876,0.6,3.61,2,5,1,0.397,156.78,7.276,52.92,T004_FactorXa,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
172.97,3.257,155.51,0,3,2,0.531,-11.495,4,1,-4.009,0.728,-1.589,0.48,6.37,2,1,2,-1.498,152.94,7.997,10.08,T005_BACE1,Curcumin,3,Synthetic - ML prediction tier; NOT experimental
512.99,4.031,94.38,0,3,0,0.36,-10.915,5,1,-4.961,-0.665,-5.96,0.51,2.6,3,2,3,-2.575,92.05,8.418,3.82,T007_COX2,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
201.6,1.705,74.89,3,4,10,0.945,-10.429,5,4,-5.983,-0.05,-3.8,0.73,5.14,1,6,3,2.16,66.62,9.136,0.73,T006_Mpro,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
325.77,2.076,148.66,1,6,10,0.263,-7.35,5,4,-5.43,0.824,-5.866,0.81,6.38,1,8,1,1.487,144.57,7.001,99.8,T001_mGluR2,Withanolide A,3,Synthetic - ML prediction tier; NOT experimental
397.44,0.176,104.94,4,3,8,0.867,-11.409,3,2,-5.736,0.582,-3.158,0.52,5.41,3,1,0,0.524,95.21,8.114,7.69,T010_ERa,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
403.31,3.271,105.16,3,8,6,0.262,-7.476,5,1,-5.445,-1.07,-3.443,0.42,6.04,4,5,3,0.519,110.42,8.526,2.98,T007_COX2,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
305.08,2.125,173.01,1,2,3,0.265,-8.241,4,4,-4.782,-1.072,-2.292,0.74,2.6,5,2,0,-2.017,182.07,5.953,1113.26,T007_COX2,Curcumin,3,Synthetic - ML prediction tier; NOT experimental
233.48,0.262,147.17,2,3,0,0.451,-8.28,5,0,-5.474,0.925,-2.862,0.6,4.55,0,7,1,-0.794,142.27,6.188,648.99,T001_mGluR2,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
264.2,2.553,36.61,6,2,3,0.234,-8.77,2,1,-4.138,0.572,-3.236,0.85,5.7,3,3,2,-1.51,44.92,7.59,25.71,T006_Mpro,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
209.7,3.54,37.9,1,10,0,0.916,-10.983,4,2,-4.453,-1.068,-5.568,0.57,3.84,2,4,1,-0.216,39.73,9.5,0.32,T005_BACE1,Withanolide A,3,Synthetic - ML prediction tier; NOT experimental
516.23,2.779,149.4,1,2,6,0.218,-7.438,6,0,-4.098,-1.996,-2.713,0.81,5.64,0,3,1,-0.481,158.62,5.857,1390.09,T004_FactorXa,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
171.95,0.889,156.83,3,7,7,0.931,-10.863,1,4,-5.733,0.46,-5.626,0.64,4.17,1,3,2,-1.434,153.13,7.244,57.07,T010_ERa,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
500.36,3.912,77.71,2,5,1,0.908,-10.479,5,0,-5.689,-1.507,-3.67,0.54,4.68,1,7,2,-0.22,84.76,9.463,0.34,T004_FactorXa,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
257.51,4.639,52.25,5,5,5,0.497,-11.133,3,2,-4.36,-1.478,-1.24,0.81,4.78,4,3,0,-0.228,58.33,9.5,0.32,T003_TLR4,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
155.98,4.482,177.39,1,5,6,0.479,-6.773,6,0,-4.835,-1.224,-1.936,0.31,2.32,5,7,1,-2.448,184.33,7.248,56.44,T005_BACE1,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
233.99,2.943,153.25,3,9,0,0.487,-8.3,3,1,-4.183,-1.175,-3.77,0.39,5.07,4,3,2,-0.007,160.91,7.007,98.43,T005_BACE1,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
193.86,1.798,92.89,5,10,3,0.673,-5.484,1,3,-4.436,-0.923,-3.277,0.59,6.56,4,5,3,-1.377,83.41,6.53,295.05,T010_ERa,Curcumin,3,Synthetic - ML prediction tier; NOT experimental
179.3,5.449,109.41,6,11,3,0.93,-10.749,6,1,-5.467,0.449,-1.414,0.33,6.98,1,6,2,2.611,119.25,8.89,1.29,T003_TLR4,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
268.28,1.408,140.72,2,11,0,0.728,-8.862,5,4,-5.716,0.845,-1.817,0.79,6.85,4,4,1,-0.057,132.52,7.447,35.74,T006_Mpro,Berberine,3,Synthetic - ML prediction tier; NOT experimental
150.34,5.007,60.22,1,7,2,0.889,-5.168,3,0,-5.956,-0.24,-1.414,0.76,6.23,2,1,2,1.227,63.46,6.463,343.95,T006_Mpro,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
318.28,1.436,176.38,5,8,10,0.92,-6.631,2,4,-4.613,0.787,-2.065,0.43,4.94,1,6,2,1.404,172.27,5.903,1249.82,T007_COX2,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
575.38,4.125,115.12,1,11,5,0.891,-4.244,2,4,-5.792,-0.511,-4.344,0.35,3.73,2,2,0,1.93,118.52,5.204,6257.97,T007_COX2,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
373.31,1.091,67.43,0,7,4,0.79,-6.097,1,3,-5.124,-0.741,-5.168,0.55,6.41,2,8,3,-2.391,67.02,7.288,51.58,T007_COX2,Withanolide A,3,Synthetic - ML prediction tier; NOT experimental
231.33,-0.058,156.86,2,2,5,0.396,-10.715,3,1,-4.224,-1.517,-5.625,0.87,6.89,2,7,0,-0.412,159.94,7.229,59.03,T006_Mpro,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
228.55,0.108,60.83,1,8,8,0.742,-6.025,3,2,-5.405,-1.712,-4.035,0.63,4.45,0,5,0,-0.434,56.72,5.333,4645.22,T003_TLR4,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
162.87,0.525,73.77,0,9,1,0.431,-8.519,4,2,-5.818,-0.368,-5.076,0.83,3.85,3,0,2,-0.362,69.04,6.379,417.52,T010_ERa,Curcumin,3,Synthetic - ML prediction tier; NOT experimental
432.12,0.407,134.47,0,3,10,0.458,-7.439,5,1,-4.893,0.522,-1.908,0.55,4.68,3,3,3,-1.207,132.37,6.429,372.64,T006_Mpro,Quercetin,3,Synthetic - ML prediction tier; NOT experimental
550.23,3.565,123.04,0,9,2,0.912,-10.246,2,1,-5.748,-0.73,-1.059,0.56,6.99,5,2,2,-1.082,127.58,8.455,3.51,T010_ERa,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
193.51,2.838,112.81,6,6,8,0.544,-4.949,6,4,-4.825,0.345,-5.437,0.39,4.83,4,1,0,0.376,104.83,5.416,3833.12,T004_FactorXa,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
282.07,3.429,115.8,3,2,2,0.407,-10.421,5,3,-5.922,0.669,-4.343,0.44,5.73,2,5,0,-0.973,121.68,8.543,2.87,T004_FactorXa,Curcumin,3,Synthetic - ML prediction tier; NOT experimental
571.42,4.649,132.73,6,5,2,0.425,-5.922,3,2,-4.542,-0.185,-5.554,0.57,6.57,3,7,2,1.926,133.03,7.169,67.79,T006_Mpro,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
217.82,4.608,161.9,0,4,3,0.856,-9.995,1,1,-5.934,-1.848,-4.198,0.42,3.84,3,8,3,0.812,154.38,9.146,0.71,T001_mGluR2,Withanolide A,3,Synthetic - ML prediction tier; NOT experimental
336.23,3.064,56.64,6,9,9,0.614,-8.918,3,0,-5.43,-0.84,-5.185,0.64,6.82,1,3,1,-1.385,54.83,8.064,8.63,T010_ERa,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
387.05,0.294,55.98,6,2,3,0.389,-5.462,3,2,-5.152,-0.871,-4.256,0.45,4.33,5,8,3,0.507,46.13,7.495,32.0,T007_COX2,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
430.73,3.063,72.4,5,3,7,0.248,-4.087,6,2,-4.277,-1.217,-2.445,0.84,3.49,1,8,1,2.398,78.51,6.114,769.28,T007_COX2,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
490.38,3.828,128.31,2,6,6,0.503,-5.975,5,4,-4.368,-0.97,-2.433,0.71,5.19,3,5,2,2.073,135.12,6.128,744.65,T006_Mpro,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
296.89,2.325,141.14,5,10,2,0.91,-4.753,6,0,-5.555,-1.33,-1.643,0.55,6.43,2,4,2,-0.217,133.49,5.865,1364.21,T006_Mpro,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
386.11,0.667,47.97,5,8,8,0.424,-11.095,2,1,-4.015,-0.972,-1.064,0.84,6.93,1,5,1,1.674,47.72,8.665,2.16,T007_COX2,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
306.71,-0.152,97.81,1,4,9,0.773,-7.828,1,1,-4.771,-0.1,-3.983,0.88,3.92,0,8,1,1.384,106.81,7.265,54.33,T006_Mpro,Withanolide A,3,Synthetic - ML prediction tier; NOT experimental
158.96,-0.475,140.04,1,7,4,0.297,-8.623,5,2,-5.666,0.472,-4.509,0.47,5.64,4,8,2,-0.398,143.78,7.206,62.21,T003_TLR4,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
648.07,2.441,142.52,1,8,0,0.371,-6.046,2,1,-4.532,-0.231,-5.155,0.52,5.25,0,6,2,1.627,144.98,5.598,2521.93,T001_mGluR2,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
174.12,0.195,96.65,0,10,4,0.556,-10.352,6,0,-5.398,-0.015,-2.688,0.46,5.03,1,6,0,0.07,99.0,7.609,24.6,T004_FactorXa,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
542.38,2.486,121.35,6,6,8,0.93,-8.816,4,2,-5.679,-0.356,-1.448,0.71,4.4,1,0,0,1.03,129.49,6.66,218.69,T003_TLR4,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
539.76,-0.05,138.54,2,12,3,0.543,-4.17,3,3,-5.9,0.44,-1.629,0.81,3.8,5,5,3,1.431,130.44,5.229,5896.37,T010_ERa,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
154.84,0.33,127.08,2,7,7,0.916,-9.488,6,0,-5.255,-0.972,-5.431,0.54,4.28,3,7,3,0.893,133.02,8.598,2.52,T001_mGluR2,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
201.86,4.967,102.4,4,12,7,0.336,-8.652,3,4,-5.942,0.053,-1.807,0.88,2.65,3,1,3,-0.356,93.67,7.971,10.68,T007_COX2,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
156.18,4.71,108.72,5,11,9,0.368,-4.332,3,4,-4.954,0.102,-5.524,0.7,3.24,2,6,1,2.034,109.89,6.095,803.65,T007_COX2,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
402.78,2.316,104.38,1,3,7,0.44,-9.018,3,0,-4.986,-0.349,-4.107,0.79,2.39,3,7,0,2.14,103.32,8.055,8.8,T001_mGluR2,Berberine,3,Synthetic - ML prediction tier; NOT experimental
522.62,-0.393,90.52,0,10,8,0.2,-10.818,5,4,-4.725,0.67,-3.188,0.69,4.28,2,5,0,1.9,97.4,7.634,23.25,T006_Mpro,Berberine,3,Synthetic - ML prediction tier; NOT experimental
508.33,1.68,97.88,0,12,3,0.202,-8.836,6,2,-4.905,-0.878,-5.468,0.84,4.46,5,6,0,-1.474,91.8,8.656,2.21,T001_mGluR2,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
257.79,4.447,58.59,2,3,6,0.235,-6.751,6,4,-5.754,0.675,-3.713,0.65,4.52,3,0,0,0.319,57.24,5.767,1709.5,T010_ERa,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
495.91,0.542,152.29,0,8,10,0.65,-4.88,5,3,-5.163,-0.173,-2.537,0.45,3.99,2,4,3,1.829,145.05,4.717,19181.3,T006_Mpro,Quercetin,3,Synthetic - ML prediction tier; NOT experimental
299.46,3.709,159.11,5,10,10,0.363,-9.927,6,2,-4.627,0.764,-5.337,0.73,6.88,1,8,2,1.262,164.32,7.547,28.35,T007_COX2,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
487.12,4.863,110.09,6,8,0,0.592,-11.31,2,0,-4.659,-1.4,-2.249,0.4,3.43,2,2,0,1.144,105.99,8.212,6.13,T010_ERa,Quercetin,3,Synthetic - ML prediction tier; NOT experimental
166.15,4.384,45.37,6,12,8,0.849,-5.932,5,3,-5.525,0.353,-2.006,0.47,5.32,3,6,3,2.74,54.89,7.526,29.77,T001_mGluR2,Curcumin,3,Synthetic - ML prediction tier; NOT experimental
251.54,4.713,159.07,3,5,10,0.728,-6.643,5,4,-4.523,-1.411,-2.375,0.42,4.24,5,1,1,2.775,163.77,7.176,66.63,T001_mGluR2,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
170.32,1.175,69.64,1,11,4,0.204,-8.003,2,0,-5.693,-1.032,-5.746,0.86,5.08,5,4,3,1.739,70.64,8.561,2.75,T006_Mpro,Withanolide A,3,Synthetic - ML prediction tier; NOT experimental
628.49,2.624,147.94,1,8,8,0.603,-10.81,2,1,-4.673,-1.007,-4.532,0.87,5.09,3,8,0,-2.312,144.86,8.807,1.56,T003_TLR4,Withanolide A,3,Synthetic - ML prediction tier; NOT experimental
629.45,3.595,78.14,6,3,6,0.392,-6.07,1,4,-4.356,-0.875,-1.986,0.57,2.22,5,3,2,0.083,87.1,7.625,23.72,T006_Mpro,Quercetin,3,Synthetic - ML prediction tier; NOT experimental
153.67,-0.107,130.55,6,5,10,0.518,-10.721,5,3,-4.707,0.819,-2.266,0.39,4.3,2,0,0,-2.561,124.11,7.608,24.64,T004_FactorXa,Quercetin,3,Synthetic - ML prediction tier; NOT experimental
185.22,4.43,166.65,3,8,7,0.673,-8.252,1,3,-4.653,-0.395,-2.793,0.67,5.78,4,0,0,-0.854,166.7,6.486,326.68,T006_Mpro,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
290.76,5.06,87.21,6,12,0,0.555,-7.499,2,3,-4.406,0.548,-4.525,0.68,3.49,5,5,0,0.321,88.31,8.653,2.22,T001_mGluR2,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
152.51,3.08,110.57,0,6,3,0.761,-4.723,3,1,-5.175,-0.062,-3.437,0.4,3.1,2,3,0,-1.912,116.57,5.678,2100.99,T006_Mpro,Berberine,3,Synthetic - ML prediction tier; NOT experimental
472.34,-0.061,130.75,2,3,3,0.744,-7.846,3,2,-5.744,-0.034,-5.5,0.67,6.5,2,7,3,-1.03,133.94,6.298,504.02,T007_COX2,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
432.78,1.687,77.45,3,4,0,0.435,-5.608,6,3,-5.447,-0.922,-2.602,0.5,4.4,3,5,2,-0.078,69.63,6.339,458.17,T004_FactorXa,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
595.65,0.679,140.03,5,3,1,0.869,-5.128,6,0,-4.375,-0.263,-2.154,0.43,2.18,2,8,3,0.923,133.0,5.878,1324.05,T005_BACE1,Withanolide A,3,Synthetic - ML prediction tier; NOT experimental
595.72,3.038,158.57,1,9,8,0.583,-8.524,5,0,-4.675,0.544,-1.967,0.67,2.83,4,2,3,-2.045,159.9,6.394,403.42,T003_TLR4,Berberine,3,Synthetic - ML prediction tier; NOT experimental
619.59,-0.257,144.22,1,3,4,0.477,-11.179,2,4,-4.185,-0.916,-3.652,0.57,2.23,5,5,0,1.222,144.65,8.169,6.78,T010_ERa,Curcumin,3,Synthetic - ML prediction tier; NOT experimental
567.44,1.08,111.65,1,8,10,0.484,-7.092,1,4,-5.497,0.918,-4.886,0.54,6.09,2,7,3,2.323,101.78,7.341,45.61,T003_TLR4,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
407.27,1.185,52.54,1,7,9,0.738,-10.613,2,3,-4.378,0.161,-3.592,0.59,3.05,1,6,0,-1.538,45.09,7.963,10.89,T006_Mpro,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
217.36,2.576,163.62,1,2,2,0.394,-10.15,4,4,-4.062,-0.087,-1.607,0.74,6.11,0,3,3,0.639,163.05,6.726,188.0,T005_BACE1,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
547.31,4.423,57.28,5,10,4,0.326,-6.358,4,4,-4.819,-1.311,-4.073,0.37,3.01,4,6,1,0.633,50.83,7.695,20.16,T006_Mpro,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
588.88,2.689,142.86,0,9,10,0.298,-6.974,1,3,-4.956,-0.889,-5.783,0.62,3.15,3,6,2,0.534,147.69,6.88,131.91,T001_mGluR2,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
216.94,2.363,64.88,6,3,4,0.649,-7.422,3,1,-5.989,0.231,-5.964,0.61,4.6,3,3,2,-0.547,57.01,6.561,274.5,T005_BACE1,Curcumin,3,Synthetic - ML prediction tier; NOT experimental
280.65,2.717,114.7,4,6,10,0.498,-9.972,5,4,-5.035,-0.889,-3.225,0.45,3.53,2,6,1,2.13,117.89,8.178,6.64,T007_COX2,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
200.14,2.55,147.91,6,10,9,0.723,-6.199,2,3,-4.071,-1.984,-5.545,0.39,6.63,3,1,0,-1.421,145.33,5.027,9392.92,T006_Mpro,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
512.25,5.084,90.1,5,10,4,0.734,-7.019,2,3,-5.122,-1.395,-2.716,0.78,3.43,0,8,1,0.691,93.58,6.81,154.73,T003_TLR4,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
648.41,4.178,82.97,3,8,9,0.35,-11.385,6,0,-4.162,-0.351,-2.369,0.64,4.91,2,4,1,0.638,76.86,9.338,0.46,T005_BACE1,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
280.55,1.943,45.97,0,10,4,0.455,-10.622,5,2,-4.248,0.439,-3.126,0.72,6.83,4,7,1,1.545,55.19,9.092,0.81,T006_Mpro,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
390.99,1.047,87.4,6,5,10,0.726,-5.499,4,2,-4.967,-1.971,-1.839,0.45,2.47,5,5,0,0.327,80.97,6.707,196.11,T004_FactorXa,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
259.28,2.942,57.42,5,12,3,0.574,-10.003,6,1,-4.255,-1.38,-4.986,0.45,5.09,1,1,0,2.521,60.93,7.338,45.87,T010_ERa,Quercetin,3,Synthetic - ML prediction tier; NOT experimental
629.0,4.588,85.68,2,9,9,0.852,-7.819,5,2,-5.204,0.251,-5.359,0.62,4.12,4,0,2,-0.638,89.41,6.888,129.54,T003_TLR4,Berberine,3,Synthetic - ML prediction tier; NOT experimental
638.25,3.689,99.01,5,2,0,0.706,-8.654,1,2,-5.277,0.586,-5.064,0.46,3.35,4,5,2,-1.897,97.49,7.568,27.02,T004_FactorXa,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
289.81,0.579,49.67,4,12,3,0.811,-6.094,2,4,-5.136,-0.857,-5.271,0.88,2.75,0,2,3,-0.002,59.58,6.019,957.17,T010_ERa,Quercetin,3,Synthetic - ML prediction tier; NOT experimental
416.99,1.394,102.99,2,10,9,0.236,-10.758,2,0,-5.569,-1.237,-1.805,0.36,5.72,2,5,2,0.362,111.63,8.238,5.79,T001_mGluR2,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
583.68,5.279,59.84,4,12,10,0.604,-4.155,3,2,-5.35,-0.469,-2.126,0.57,2.39,4,4,3,0.79,52.74,6.823,150.34,T003_TLR4,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
360.91,3.174,90.72,0,3,2,0.458,-9.149,6,2,-4.579,-0.184,-4.023,0.83,5.9,2,8,3,-0.516,84.39,9.072,0.85,T007_COX2,Curcumin,3,Synthetic - ML prediction tier; NOT experimental
620.22,3.704,42.01,1,8,1,0.272,-4.474,4,4,-5.892,0.313,-3.38,0.9,2.52,4,2,0,0.929,49.72,6.227,592.95,T004_FactorXa,Withanolide A,3,Synthetic - ML prediction tier; NOT experimental
273.7,1.205,123.97,1,10,2,0.221,-6.523,3,3,-5.066,0.613,-1.326,0.63,2.68,5,8,1,0.545,123.1,7.24,57.49,T005_BACE1,Quercetin,3,Synthetic - ML prediction tier; NOT experimental
469.89,2.703,166.34,3,10,3,0.804,-8.186,3,3,-5.48,-1.089,-6.0,0.79,6.24,2,4,3,0.211,170.09,6.01,976.53,T005_BACE1,Berberine,3,Synthetic - ML prediction tier; NOT experimental
299.81,4.095,149.69,4,5,0,0.611,-10.086,5,3,-5.21,-1.51,-2.314,0.53,3.89,2,1,3,0.752,150.03,7.735,18.39,T007_COX2,Curcumin,3,Synthetic - ML prediction tier; NOT experimental
292.34,3.958,151.32,3,5,1,0.337,-9.328,6,3,-4.765,-1.184,-2.886,0.41,2.1,0,8,0,-1.884,143.37,6.729,186.45,T004_FactorXa,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
507.6,3.863,64.92,1,2,7,0.363,-8.348,4,2,-5.073,0.374,-4.349,0.81,6.76,0,4,3,-2.572,64.32,7.433,36.86,T010_ERa,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
564.13,0.232,145.22,1,8,7,0.385,-4.041,2,3,-4.529,-1.718,-2.67,0.43,3.95,2,5,1,0.775,136.07,5.375,4217.29,T006_Mpro,Quercetin,3,Synthetic - ML prediction tier; NOT experimental
211.07,2.387,74.82,2,2,10,0.363,-10.653,6,3,-5.351,-1.498,-4.619,0.37,5.95,0,0,3,1.13,67.92,7.522,30.06,T005_BACE1,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
492.97,1.531,175.45,6,12,0,0.245,-6.666,6,4,-4.417,-1.623,-4.837,0.89,5.94,2,7,1,-2.872,173.0,5.581,2624.24,T007_COX2,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
275.35,-0.263,135.99,4,6,8,0.723,-10.077,2,4,-5.305,0.197,-4.623,0.8,6.57,4,2,0,0.187,134.98,7.572,26.79,T005_BACE1,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
537.96,2.536,140.05,0,11,5,0.782,-9.709,6,0,-4.683,-0.383,-4.063,0.61,4.49,4,2,2,-1.064,142.87,7.279,52.55,T001_mGluR2,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
411.6,-0.1,155.28,1,4,0,0.352,-7.86,1,0,-4.858,0.509,-2.71,0.62,5.51,2,0,2,-1.676,159.64,6.364,432.04,T007_COX2,Berberine,3,Synthetic - ML prediction tier; NOT experimental
614.2,4.492,100.21,5,2,5,0.619,-4.463,4,2,-4.412,-1.825,-2.915,0.62,5.67,2,1,1,2.764,92.15,5.467,3415.61,T007_COX2,Withanolide A,3,Synthetic - ML prediction tier; NOT experimental
415.83,0.637,108.93,1,11,10,0.911,-7.312,5,3,-4.508,0.299,-3.117,0.7,5.51,3,1,1,1.755,109.93,5.699,2000.13,T006_Mpro,Berberine,3,Synthetic - ML prediction tier; NOT experimental
616.76,4.915,112.51,2,7,6,0.773,-8.271,6,2,-4.783,-0.311,-4.93,0.76,6.63,2,5,3,-0.315,110.45,7.731,18.6,T007_COX2,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
641.48,3.075,107.64,2,2,4,0.938,-9.889,3,0,-4.457,0.83,-1.888,0.85,4.56,4,2,0,-2.774,104.75,8.146,7.15,T006_Mpro,Withanolide A,3,Synthetic - ML prediction tier; NOT experimental
266.5,4.366,43.79,3,11,3,0.751,-6.073,4,1,-5.023,0.697,-2.486,0.79,2.48,5,4,0,1.385,45.31,7.899,12.61,T001_mGluR2,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
610.94,1.506,161.97,3,8,1,0.852,-9.8,6,4,-4.143,-0.098,-2.839,0.33,4.62,2,8,1,-1.039,165.92,8.101,7.93,T005_BACE1,Berberine,3,Synthetic - ML prediction tier; NOT experimental
526.42,2.952,43.51,3,6,6,0.311,-8.979,4,4,-4.509,-0.356,-4.687,0.54,4.17,5,2,1,-0.114,37.47,8.833,1.47,T005_BACE1,Withanolide A,3,Synthetic - ML prediction tier; NOT experimental
430.58,5.482,108.64,1,3,4,0.783,-9.074,5,0,-5.775,-0.759,-4.174,0.41,3.72,5,0,2,-1.984,105.63,8.357,4.39,T006_Mpro,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
370.23,5.045,65.02,5,7,2,0.768,-5.104,1,0,-5.514,-0.137,-5.262,0.8,3.44,2,1,2,-0.3,55.48,5.373,4235.37,T003_TLR4,Quercetin,3,Synthetic - ML prediction tier; NOT experimental
255.94,2.779,142.55,4,9,9,0.747,-10.44,6,0,-5.247,0.718,-3.366,0.45,2.3,1,4,0,-0.21,151.46,8.0,9.99,T007_COX2,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
582.14,-0.386,160.11,5,8,3,0.935,-7.686,6,0,-4.192,-0.546,-3.014,0.35,2.99,3,8,0,-2.761,168.56,6.858,138.77,T004_FactorXa,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
394.97,3.966,32.76,5,7,5,0.669,-9.728,5,2,-4.376,-0.123,-1.607,0.83,6.07,0,8,2,-1.647,29.59,8.492,3.22,T007_COX2,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
410.36,3.568,160.91,5,5,6,0.38,-10.354,3,4,-5.341,-0.373,-4.966,0.38,4.71,1,2,2,1.131,168.88,7.426,37.53,T003_TLR4,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
647.84,5.355,51.77,4,4,5,0.251,-7.503,6,0,-5.632,0.519,-5.272,0.32,3.59,3,6,2,-0.342,60.45,8.881,1.32,T004_FactorXa,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
